"project_id","camera_id","camera_name","make","model","serial_number","year_purchased"
2003269,2041128,"C366a","","",NA,NA
2003269,2046159,"C271a","","",NA,NA
2003269,2019082,"C212","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019085,"C209","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2041107,"C114a","","",NA,NA
2003269,2018990,"C265","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2046021,"C406a","","",NA,NA
2003269,2019096,"C198","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2039380,"C333a","","",NA,NA
2003269,2046195,"C340a","","",NA,NA
2003269,2046239,"C178a","","",NA,NA
2003269,2018900,"C379","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2018862,"C396","","Browning Strike Force BTC-5HDX",NA,NA
2003269,2018973,"C305","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019177,"C069","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2046385,"C305a","","",NA,NA
2003269,2018895,"C384","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2018869,"C287","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019169,"C061","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019198,"C090","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019290,"C182","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019263,"C155","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2046334,"C397b","","",NA,NA
2003269,2019186,"C078","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019262,"C154","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2018985,"C293","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2046396,"C371b","","",NA,NA
2003269,2019036,"C219","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019123,"C015","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2041057,"C371a","","",NA,NA
2003269,2019234,"C126","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2042273,"C324a","","",NA,NA
2003269,2019007,"C248","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2018967,"C311","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019094,"C200","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2018861,"C397","","Browning Strike Force BTC-5HDX",NA,NA
2003269,2019109,"C187","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2041100,"C379a","","",NA,NA
2003269,2040836,"C377a","","",NA,NA
2003269,2019294,"C377","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2018954,"C324","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2018987,"C291","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2046022,"C242a","","",NA,NA
2003269,2018925,"C353","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2041102,"C109a","","",NA,NA
2003269,2046044,"C103b","","",NA,NA
2003269,2019144,"C036","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019189,"C081","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019276,"C168","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2046349,"C096a","","",NA,NA
2003269,2046243,"C343b","","",NA,NA
2003269,2044911,"C353b","","",NA,NA
2003269,2046059,"C256a","","",NA,NA
2003269,2046318,"C094a","","",NA,NA
2003269,2019243,"C135","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2018974,"C304","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2044680,"C159a","","",NA,NA
2003269,2018940,"C338","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019267,"C159","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2041001,"C113a","","",NA,NA
2003269,2019288,"C180","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2046368,"C024a","","",NA,NA
2003269,2045848,"C341b","","",NA,NA
2003269,2046040,"C250a","","",NA,NA
2003269,2019165,"C057","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2018272,"C400","","Browning Strike Force BTC-5HDX",NA,NA
2003269,2046032,"C211a","","",NA,NA
2003269,2018899,"C382","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019277,"C169","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019225,"C117","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2040950,"C108a","","",NA,NA
2003269,2019161,"C053","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2046376,"C165a","","",NA,NA
2003269,2019148,"C040","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019205,"C097","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2046179,"C360b","","",NA,NA
2003269,2019130,"C022","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019278,"C170","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2041003,"C045a","","",NA,NA
2003269,2040948,"C380a","","",NA,NA
2003269,2019128,"C020","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2046324,"C307a","","",NA,NA
2003269,2018958,"C320","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2041050,"C390a","","",NA,NA
2003269,2019141,"C033","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2041123,"C116a","","",NA,NA
2003269,2054746,"C421","","",NA,NA
2003269,2043810,"C323a","","",NA,NA
2003269,2046357,"C056a","","",NA,NA
2003269,2046015,"C241a","","",NA,NA
2003269,2018277,"C395","","Browning Strike Force BTC-5HDX",NA,NA
2003269,2045921,"C105b","","",NA,NA
2003269,2045959,"C119b","","",NA,NA
2003269,2046218,"C314a","","",NA,NA
2003269,2041051,"C347a","","",NA,NA
2003269,2019012,"C243","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2046351,"C266a","","",NA,NA
2003269,2019176,"C068","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2039378,"C336a","","",NA,NA
2003269,2018988,"C290","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019115,"C007","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019280,"C172","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2046163,"C046a","","",NA,NA
2003269,2046364,"C152a","","",NA,NA
2003269,2019151,"C043","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2046360,"C039a","","",NA,NA
2003269,2018909,"C369","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019255,"C147","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019147,"C039","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2040842,"C348a","","",NA,NA
2003269,2019223,"C115","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2044830,"C136a","","",NA,NA
2003269,2042484,"C304a","","",NA,NA
2003269,2046306,"C384b","","",NA,NA
2003269,2018863,"C393","","Browning Strike Force BTC-5HDX",NA,NA
2003269,2046384,"C184a","","",NA,NA
2003269,2046347,"C100a","","",NA,NA
2003269,2018932,"C346","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2046013,"C295a","","",NA,NA
