"project_id","deployment_id","image_id","filename","location","is_blank","identified_by","wi_taxon_id","class","order","family","genus","species","common_name","uncertainty","timestamp","number_of_objects","age","sex","animal_recognizable","individual_id","individual_animal_notes","behavior","highlighted","markings","cv_confidence","license","placename","group_size","temperature"
"AlgarRestorationProject","ALG027_2018-04-11","Algar27__2018-05-21__21-45-31.JPG","Algar27__2018-05-21__21-45-31.JPG","",0,"ERT","","Mammalia","Carnivora","Ursidae","Ursus","americanus","","",2018-05-21 21:45:31,1,"Unidentified","","","","","","","","","","ALG027",1,NA
"AlgarRestorationProject","ALG027_2018-04-11","Algar27__2018-05-21__21-45-32.JPG","Algar27__2018-05-21__21-45-32.JPG","",0,"ERT","","Mammalia","Carnivora","Ursidae","Ursus","americanus","","",2018-05-21 21:45:32,1,"Unidentified","","","","","","","","","","ALG027",1,NA
"AlgarRestorationProject","ALG027_2018-04-11","Algar27__2018-05-21__21-45-35.JPG","Algar27__2018-05-21__21-45-35.JPG","",0,"ERT","","Mammalia","Carnivora","Ursidae","Ursus","americanus","","",2018-05-21 21:45:35,1,"Unidentified","","","","","","","","","","ALG027",1,NA
"AlgarRestorationProject","ALG027_2018-04-11","Algar27__2018-05-21__21-45-38.JPG","Algar27__2018-05-21__21-45-38.JPG","",0,"ERT","","Mammalia","Carnivora","Ursidae","Ursus","americanus","","",2018-05-21 21:45:38,1,"Unidentified","","","","","","","","","","ALG027",1,NA
"AlgarRestorationProject","ALG027_2018-04-11","Algar27__2018-05-21__21-45-39.JPG","Algar27__2018-05-21__21-45-39.JPG","",0,"ERT","","Mammalia","Carnivora","Ursidae","Ursus","americanus","","",2018-05-21 21:45:39,1,"Unidentified","","","","","","","","","","ALG027",1,NA
"AlgarRestorationProject","ALG027_2018-04-11","Algar27__2018-05-21__21-45-42.JPG","Algar27__2018-05-21__21-45-42.JPG","",0,"ERT","","Mammalia","Carnivora","Ursidae","Ursus","americanus","","",2018-05-21 21:45:42,1,"Unidentified","","","","","","","","","","ALG027",1,NA
"AlgarRestorationProject","ALG027_2018-04-11","Algar27__2018-05-21__21-45-43.JPG","Algar27__2018-05-21__21-45-43.JPG","",0,"ERT","","Mammalia","Carnivora","Ursidae","Ursus","americanus","","",2018-05-21 21:45:43,1,"Unidentified","","","","","","","","","","ALG027",1,NA
"AlgarRestorationProject","ALG027_2018-04-11","Algar27__2018-05-21__21-45-47.JPG","Algar27__2018-05-21__21-45-47.JPG","",0,"ERT","","Mammalia","Carnivora","Ursidae","Ursus","americanus","","",2018-05-21 21:45:47,1,"Unidentified","","","","","","","","","","ALG027",1,NA
"AlgarRestorationProject","ALG027_2018-04-11","Algar27__2018-05-21__21-45-49.JPG","Algar27__2018-05-21__21-45-49.JPG","",0,"ERT","","Mammalia","Carnivora","Ursidae","Ursus","americanus","","",2018-05-21 21:45:49,1,"Unidentified","","","","","","","","","","ALG027",1,NA
"AlgarRestorationProject","ALG027_2018-04-11","Algar27__2018-05-21__21-45-50.JPG","Algar27__2018-05-21__21-45-50.JPG","",0,"ERT","","Mammalia","Carnivora","Ursidae","Ursus","americanus","","",2018-05-21 21:45:50,1,"Unidentified","","","","","","","","","","ALG027",1,NA
